1	750, 318, 27773, 904, 4973, 858, 912, 48516, 541, 1197
4	750, 318, 27773, 4973, 858, 48516, 1208, 541, 50, 1197
6	750, 1136, 27773, 904, 4973, 858, 2959, 912, 48516, 1208
7	318, 1136, 27773, 904, 4973, 858, 2959, 912, 541, 1197
10	750, 318, 1136, 27773, 904, 4973, 858, 912, 48516, 1208
11	750, 1136, 27773, 904, 4973, 858, 2959, 912, 48516, 1208
15	750, 1136, 27773, 904, 4973, 912, 48516, 1208, 541, 50
16	2959, 912, 48516, 1219, 106782, 1221, 1222, 1089, 1225, 68157
17	750, 1136, 4973, 858, 912, 1208, 50, 1219, 106782, 1225
18	750, 1136, 27773, 4973, 858, 912, 48516, 1197, 106782, 1089
19	750, 318, 27773, 4973, 858, 912, 48516, 1208, 50, 296
20	750, 318, 1136, 27773, 904, 4973, 858, 2959, 912, 48516
21	750, 318, 1136, 27773, 904, 912, 48516, 1208, 50, 1197
22	750, 318, 1136, 27773, 904, 4973, 912, 1208, 50, 1197
23	318, 27773, 2959, 48516, 1208, 1197, 1219, 106782, 1225, 1247
24	750, 1136, 27773, 904, 858, 2959, 912, 48516, 1208, 541
27	750, 318, 1136, 27773, 904, 4973, 858, 2959, 912, 48516
28	750, 318, 27773, 904, 4973, 912, 1219, 106782, 1225, 1247
29	27773, 4973, 2959, 912, 1208, 541, 1197, 296, 1219, 106782
31	750, 318, 1136, 27773, 904, 4973, 858, 2959, 48516, 1208
32	750, 1136, 27773, 904, 4973, 858, 2959, 48516, 1208, 541
33	750, 318, 1136, 27773, 904, 4973, 858, 2959, 912, 48516
34	750, 1136, 27773, 904, 858, 912, 48516, 1208, 541, 50
36	750, 1136, 27773, 4973, 858, 2959, 912, 48516, 1208, 541
38	750, 1136, 27773, 904, 4973, 858, 2959, 912, 48516, 1208
39	750, 318, 1136, 27773, 904, 4973, 858, 2959, 912, 48516
40	750, 1136, 27773, 904, 4973, 858, 2959, 912, 48516, 1208
41	318, 1136, 27773, 904, 4973, 858, 912, 541, 1197, 1219
42	750, 1136, 27773, 904, 4973, 48516, 1208, 541, 1219, 106782
43	750, 1136, 27773, 904, 4973, 858, 2959, 912, 48516, 1208
45	750, 318, 27773, 904, 4973, 912, 48516, 1208, 541, 50
47	750, 1136, 27773, 904, 4973, 858, 912, 48516, 1208, 541
50	750, 904, 4973, 912, 48516, 50, 1197, 1219, 1221, 1222
51	750, 318, 1136, 27773, 904, 4973, 858, 2959, 48516, 1208
52	750, 1136, 27773, 904, 4973, 858, 912, 1208, 541, 50
57	318, 1136, 27773, 4973, 2959, 48516, 1208, 1219, 106782, 1089
58	750, 1136, 27773, 904, 4973, 858, 2959, 912, 48516, 1208
59	750, 318, 1136, 27773, 4973, 2959, 912, 48516, 50, 1197
62	750, 1136, 27773, 904, 912, 1208, 541, 50, 1197, 1219
63	750, 27773, 904, 4973, 48516, 541, 1197, 1219, 106782, 1225
64	750, 904, 858, 2959, 912, 48516, 1208, 541, 50, 1219
66	750, 27773, 904, 4973, 858, 912, 48516, 1208, 50, 1219
68	750, 1136, 27773, 904, 4973, 2959, 1208, 541, 296, 1219
70	750, 1136, 27773, 904, 4973, 2959, 912, 48516, 1208, 541
73	750, 318, 1136, 27773, 904, 4973, 858, 2959, 912, 48516
74	750, 318, 1136, 904, 2959, 912, 541, 50, 1197, 1219
75	750, 318, 1136, 27773, 904, 4973, 858, 2959, 48516, 1208
76	318, 27773, 904, 4973, 912, 48516, 1208, 50, 1197, 1219
78	750, 318, 1136, 27773, 904, 4973, 858, 2959, 912, 48516
79	750, 318, 1136, 27773, 904, 4973, 2959, 912, 48516, 1208
80	750, 1136, 27773, 904, 4973, 912, 1208, 541, 1197, 296
82	750, 318, 1136, 27773, 904, 4973, 858, 2959, 912, 48516
83	750, 1136, 27773, 904, 858, 2959, 912, 48516, 1208, 50
84	750, 318, 27773, 904, 4973, 2959, 48516, 541, 106782, 1221
86	750, 1136, 27773, 904, 4973, 858, 912, 48516, 1208, 541
88	750, 1136, 27773, 904, 4973, 858, 2959, 912, 48516, 1208
89	318, 27773, 904, 858, 2959, 912, 48516, 1208, 541, 50
90	750, 318, 1136, 27773, 904, 4973, 858, 2959, 912, 48516
91	27773, 4973, 48516, 106782, 1222, 1225, 1247, 68157, 7361, 356
93	750, 1136, 27773, 904, 4973, 858, 2959, 912, 48516, 1208
94	750, 1136, 27773, 904, 4973, 858, 2959, 912, 48516, 1208
95	750, 318, 1136, 27773, 904, 858, 2959, 912, 48516, 50
96	750, 318, 1136, 27773, 904, 4973, 858, 2959, 912, 48516
98	750, 318, 1136, 27773, 4973, 858, 2959, 912, 48516, 1208
99	750, 1136, 27773, 904, 4973, 858, 2959, 912, 48516, 1208
